session_id,thread_name,repo,task_id,attribution,session_path,first_timestamp_utc,last_timestamp_utc,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,cached_output_tokens,uncached_output_tokens,reasoning_output_tokens,total_tokens,total_time,token_event_count,task_ref_candidates,attribution_sources
019d2a5b-06b1-7f12-98e0-6fcf7068c734,Create client rebuild skill,,Unattributed,unattributed,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T09-35-01-019d2a5b-06b1-7f12-98e0-6fcf7068c734.jsonl,2026-03-26T13:36:23.241000+00:00,2026-03-26T15:07:19.081000+00:00,15182813,13781120,1401693,81698,0,81698,37502,15275001,90,131,,
019d2ab2-315e-70b2-944e-2320eb3a03df,Fix WSL server update script,,Unattributed,unattributed,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T11-10-14-019d2ab2-315e-70b2-944e-2320eb3a03df.jsonl,2026-03-26T15:10:27.895000+00:00,2026-03-26T15:14:25.886000+00:00,271593,251904,19689,8499,0,8499,5541,280092,10,13,,
019d2ac3-7858-7511-a5af-d0c411f5a7d7,Plan server-side capture backend,C:\Agent\Crystallize,Task-0001,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T11-29-06-019d2ac3-7858-7511-a5af-d0c411f5a7d7.jsonl,2026-03-26T15:32:20.315000+00:00,2026-03-26T16:21:39.418000+00:00,1326750,1067776,258974,17896,0,17896,8239,1683301,30,26,c:\agent\crystallize:Task-0001:2649;c:\agent\crystallize:Task-0002:787,user_active_or_request:105;user_message:59;tool_output:678;tool_call_args:42
019d2ac9-724f-7620-bdac-4ed2a44eb008,Analyze rotation jitter root cause,,Unattributed,unattributed,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T11-35-38-019d2ac9-724f-7620-bdac-4ed2a44eb008.jsonl,2026-03-26T15:37:01.415000+00:00,2026-03-26T18:37:57.900000+00:00,19826599,17024256,2802343,136556,0,136556,60895,20120734,170,167,,
019d2b7c-b631-7671-85c3-aecb26c93989,Investigate SaveDirty abort path,,Unattributed,unattributed,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T14-51-26-019d2b7c-b631-7671-85c3-aecb26c93989.jsonl,2026-03-26T18:52:31.578000+00:00,2026-03-26T20:56:40.308000+00:00,14245227,12717440,1527787,111305,0,111305,69857,14391877,100,143,,
019d2b98-a174-7922-b540-c048ec11c536,Locate GlobalData creation log,,Unattributed,unattributed,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T15-21-56-019d2b98-a174-7922-b540-c048ec11c536.jsonl,2026-03-26T19:22:07.029000+00:00,2026-03-26T19:23:32.396000+00:00,146086,114816,31270,2558,0,2558,900,148644,10,6,,
019d2ba4-10f6-7d23-a5d4-7a2a3f47d8e6,Center query on error timestamp,,Unattributed,unattributed,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T15-34-25-019d2ba4-10f6-7d23-a5d4-7a2a3f47d8e6.jsonl,2026-03-26T19:34:46.594000+00:00,2026-03-26T19:35:13.029000+00:00,12886,2432,10454,1408,0,1408,1034,14294,10,1,,
019d2c04-4d9c-7f32-a821-ddd4f13e97c4,Scrape Crystallize Backend,C:\Agent\Crystallize,Task-0002,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T17-19-32-019d2c04-4d9c-7f32-a821-ddd4f13e97c4.jsonl,2026-03-26T21:19:52.652000+00:00,2026-03-26T21:27:25.354000+00:00,966793,916224,50569,14004,0,14004,7763,980797,20,21,c:\agent\crystallize:Task-0002:915;c:\agent\crystallize:Task-0001:537,user_active_or_request:67;user_message:37;tool_call_args:28;tool_output:86
019d2c13-2202-7152-bf3a-c4068685fcbf,Locate chrome-session-scraper,c:\Agent\HumanLoop,Unattributed,unattributed,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T17-35-44-019d2c13-2202-7152-bf3a-c4068685fcbf.jsonl,2026-03-26T21:36:38.997000+00:00,2026-03-26T21:41:31.590000+00:00,1145166,957312,187854,9989,0,9989,5449,1155155,20,19,,
019d2c1a-b475-7e00-b559-95433a28810c,Locate chrome-session-scraper,C:\Agent\HumanLoop,Task-0001,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T17-44-00-019d2c1a-b475-7e00-b559-95433a28810c.jsonl,2026-03-26T21:44:02.417000+00:00,2026-03-26T22:01:33.953000+00:00,1686705,1519616,167089,27085,0,27085,13148,1730658,30,40,c:\agent\humanloop:Task-0001:552;c:\agent\humanloop:Task-0002:373;c:\agent\crystallize:Task-0002:9,user_active_or_request:29;user_message:19;tool_output:192;tool_call_args:18
019d2c2d-72ed-7b23-95fa-13a5c35be269,Create staged implementation plan,C:\Agent\Crystallize,Task-0002,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T18-04-29-019d2c2d-72ed-7b23-95fa-13a5c35be269.jsonl,2026-03-26T22:04:48.534000+00:00,2026-03-26T22:05:23.810000+00:00,65623,37120,28503,1296,0,1296,418,66919,10,3,c:\agent\crystallize:Task-0002:397;c:\agent\crystallize:Task-0001:384,user_active_or_request:26;user_message:14;tool_call_args:16;tool_output:83
019d2c2e-b113-7ee3-9850-69b9c07e6155,Create staged implementation plan,C:\Agent\HumanLoop,Task-0001,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T18-05-50-019d2c2e-b113-7ee3-9850-69b9c07e6155.jsonl,2026-03-26T22:05:52.283000+00:00,2026-03-26T22:32:21.591000+00:00,2284783,1914496,370287,34460,0,34460,18991,2319243,40,40,c:\agent\humanloop:Task-0001:2255;c:\agent\humanloop:Task-0002:1756;c:\agent\humanloop:Task-0000:3,user_active_or_request:92;user_message:58;tool_call_args:59;tool_output:880
019d2c35-07bf-7510-b3bb-b7830e6c7be0,Create task-0002 plan,C:\Agent\Crystallize,Task-0002,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T18-12-46-019d2c35-07bf-7510-b3bb-b7830e6c7be0.jsonl,2026-03-26T22:12:53.974000+00:00,2026-03-26T22:43:37.522000+00:00,585686,496384,89302,26735,0,26735,18858,612421,30,13,c:\agent\crystallize:Task-0002:1165;c:\agent\crystallize:Task-0001:766,user_active_or_request:53;user_message:29;tool_call_args:31;tool_output:367
019d2c4c-567d-7143-b618-5be73325759d,Implement pass N task,C:\Agent\HumanLoop,Task-0001,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T18-38-13-019d2c4c-567d-7143-b618-5be73325759d.jsonl,2026-03-26T22:39:19.877000+00:00,2026-03-26T22:48:52.844000+00:00,924424,890240,34184,25776,0,25776,17388,950200,20,24,c:\agent\humanloop:Task-0001:378;c:\agent\humanloop:Task-0002:64,user_active_or_request:15;user_message:9;tool_call_args:8;tool_output:44
019d2c53-bcb3-7501-93b9-13699d54abeb,Implement task-0002 pass N,C:\Agent\Crystallize,Task-0002,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T18-46-18-019d2c53-bcb3-7501-93b9-13699d54abeb.jsonl,2026-03-26T22:46:22.666000+00:00,2026-03-26T22:57:15.407000+00:00,1937353,1849728,87625,28087,0,28087,15393,1981242,20,35,c:\agent\crystallize:Task-0002:1713;c:\agent\crystallize:Task-0001:1195,user_active_or_request:54;user_message:30;tool_output:556;tool_call_args:76
019d2c61-6f86-7f71-a1c6-3bc1ce0fa853,Implement pass N tests,C:\Agent\HumanLoop,Task-0001,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T19-01-16-019d2c61-6f86-7f71-a1c6-3bc1ce0fa853.jsonl,2026-03-26T23:01:23.744000+00:00,2026-03-26T23:06:41.234000+00:00,479751,449664,30087,14323,0,14323,7572,494074,10,18,c:\agent\humanloop:Task-0001:259;c:\agent\humanloop:Task-0002:68,tool_output:53;tool_call_args:14
019d2c61-f3cc-70b0-a6d5-a965139425d2,Update pass N tests,C:\Agent\Crystallize,Task-0002,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T19-01-50-019d2c61-f3cc-70b0-a6d5-a965139425d2.jsonl,2026-03-26T23:01:55.069000+00:00,2026-03-26T23:08:08.337000+00:00,843043,785664,57379,17226,0,17226,9580,860269,10,20,c:\agent\crystallize:Task-0002:945;c:\agent\crystallize:Task-0001:324,user_active_or_request:26;user_message:14;tool_call_args:32;tool_output:207
019d2c6a-6d68-79d2-8b55-7f1deff2b9b1,Implement pass 2 task,C:\Agent\HumanLoop,Task-0001,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T19-11-05-019d2c6a-6d68-79d2-8b55-7f1deff2b9b1.jsonl,2026-03-26T23:11:35.279000+00:00,2026-03-26T23:21:05.124000+00:00,1852492,1735296,117196,22217,0,22217,10737,1874709,20,29,c:\agent\humanloop:Task-0001:928;c:\agent\humanloop:Task-0002:152,user_active_or_request:12;user_message:8;tool_output:298;tool_call_args:26
019d2c6b-54a4-7372-bbad-d01f28f54188,Implement pass 1 task,C:\Agent\Crystallize,Task-0002,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T19-12-04-019d2c6b-54a4-7372-bbad-d01f28f54188.jsonl,2026-03-26T23:12:08.524000+00:00,2026-03-26T23:21:29.707000+00:00,1632393,1485440,146953,26979,0,26979,13298,1659372,20,24,c:\agent\crystallize:Task-0002:755;c:\agent\crystallize:Task-0001:347,user_active_or_request:26;user_message:14;tool_call_args:31;tool_output:224
019d2c76-f233-71e3-9aee-6bc4e55b1208,Implement pass 2 tests,C:\Agent\HumanLoop,Task-0001,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T19-24-46-019d2c76-f233-71e3-9aee-6bc4e55b1208.jsonl,2026-03-26T23:24:50.639000+00:00,2026-03-26T23:33:29.441000+00:00,1925152,1853312,71840,22355,0,22355,12142,1947507,20,30,c:\agent\humanloop:Task-0001:628,user_active_or_request:6;user_message:4;tool_call_args:19;tool_output:118
019d2c77-a820-7923-8fd0-67f9b43ac811,Update pass 2 unit proof,C:\Agent\Crystallize,Task-0002,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T19-25-32-019d2c77-a820-7923-8fd0-67f9b43ac811.jsonl,2026-03-26T23:25:38.278000+00:00,2026-03-26T23:33:50.108000+00:00,1567147,1508608,58539,21377,0,21377,9266,1604326,20,32,c:\agent\crystallize:Task-0002:1605;c:\agent\crystallize:Task-0001:590,user_active_or_request:52;user_message:28;tool_call_args:55;tool_output:309
019d2c80-fd0d-7fa2-9622-7c6d42d9550f,Implement pass 2 task,C:\Agent\Crystallize,Task-0002,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T19-35-44-019d2c80-fd0d-7fa2-9622-7c6d42d9550f.jsonl,2026-03-26T23:35:47.557000+00:00,2026-03-26T23:46:45.139000+00:00,2133071,2047872,85199,30613,0,30613,16762,2163684,20,28,c:\agent\crystallize:Task-0002:780;c:\agent\crystallize:Task-0001:619,user_active_or_request:26;user_message:14;tool_call_args:40;tool_output:223
019d2c81-277f-78d3-95d6-4573db9e53ce,Implement pass 3 under task folder,C:\Agent\HumanLoop,Task-0001,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T19-35-55-019d2c81-277f-78d3-95d6-4573db9e53ce.jsonl,2026-03-26T23:35:57.822000+00:00,2026-03-26T23:43:08.301000+00:00,1532570,1462784,69786,19073,0,19073,9639,1551643,20,22,c:\agent\humanloop:Task-0001:633;c:\agent\humanloop:Task-0002:13,user_active_or_request:6;user_message:4;tool_output:224;tool_call_args:13
019d2c87-f00d-7cc1-a7ec-9601a4e7f8cc,Implement pass 3 tests,C:\Agent\HumanLoop,Task-0001,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T19-43-19-019d2c87-f00d-7cc1-a7ec-9601a4e7f8cc.jsonl,2026-03-26T23:43:30.938000+00:00,2026-03-26T23:54:55.404000+00:00,2385279,2257664,127615,25145,0,25145,14233,2410424,20,30,c:\agent\humanloop:Task-0001:1209,user_active_or_request:13;user_message:9;tool_call_args:20;tool_output:373
019d2c8b-7dbe-7932-b8fd-65cbbb86e6c1,Implement pass 2 tests,C:\Agent\Crystallize,Task-0002,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T19-47-12-019d2c8b-7dbe-7932-b8fd-65cbbb86e6c1.jsonl,2026-03-26T23:47:16.009000+00:00,2026-03-26T23:56:24.478000+00:00,1972290,1916672,55618,24496,0,24496,12388,1996786,20,35,c:\agent\crystallize:Task-0002:1094;c:\agent\crystallize:Task-0001:287,user_active_or_request:26;user_message:14;tool_call_args:42;tool_output:195
019d2c93-c5a4-7d81-9ee6-fa31abd0a60e,Implement pass 3 task,C:\Agent\Crystallize,Task-0002,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T19-56-15-019d2c93-c5a4-7d81-9ee6-fa31abd0a60e.jsonl,2026-03-26T23:56:19.829000+00:00,2026-03-27T00:11:31.842000+00:00,3150728,3064832,85896,41071,0,41071,18984,3191799,30,33,c:\agent\crystallize:Task-0002:860;c:\agent\crystallize:Task-0001:662,user_active_or_request:26;user_message:14;tool_call_args:38;tool_output:284
019d2ca1-dc0a-7450-ae9a-7798c5b85571,Implement pass 3 tests,C:\Agent\Crystallize,Task-0002,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T20-11-38-019d2ca1-dc0a-7450-ae9a-7798c5b85571.jsonl,2026-03-27T00:12:28.136000+00:00,2026-03-27T00:19:00.979000+00:00,1603130,1535616,67514,16072,0,16072,8117,1619202,10,26,c:\agent\crystallize:Task-0002:930;c:\agent\crystallize:Task-0001:68,user_active_or_request:6;user_message:4;tool_call_args:36;tool_output:178
019d2ca2-e7e8-7c82-b6eb-db0262874c09,Count task-0002 passes,C:\Agent\Crystallize,Task-0002,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T20-12-46-019d2ca2-e7e8-7c82-b6eb-db0262874c09.jsonl,2026-03-27T00:12:51.758000+00:00,2026-03-27T00:13:10.050000+00:00,47264,32256,15008,729,0,729,260,47993,10,3,c:\agent\crystallize:Task-0002:377;c:\agent\crystallize:Task-0001:1,user_active_or_request:7;user_message:5;tool_call_args:4;tool_output:114
019d2ca9-0c31-78c0-b357-b41556a273dd,Implement pass 4 task,C:\Agent\Crystallize,Task-0002,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T20-19-29-019d2ca9-0c31-78c0-b357-b41556a273dd.jsonl,2026-03-27T00:19:32.855000+00:00,2026-03-27T00:31:06.187000+00:00,1977840,1825920,151920,33310,0,33310,15092,2011150,30,25,c:\agent\crystallize:Task-0002:614;c:\agent\crystallize:Task-0001:170,user_active_or_request:8;user_message:4;tool_output:220;tool_call_args:24
019d2ca9-2f66-7a42-ba58-95856b65a964,Implement pass 4 changes,C:\Agent\HumanLoop,Task-0001,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T20-19-38-019d2ca9-2f66-7a42-ba58-95856b65a964.jsonl,2026-03-27T00:19:40.980000+00:00,2026-03-27T00:30:09.395000+00:00,1165762,1103744,62018,31257,0,31257,16463,1197019,30,17,c:\agent\humanloop:Task-0001:460,user_active_or_request:14;user_message:8;tool_output:78;tool_call_args:11
019d2cb5-ff0d-7481-8216-11a27b6c4107,Add pass 4 unit tests,C:\Agent\Crystallize,Task-0002,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T20-33-38-019d2cb5-ff0d-7481-8216-11a27b6c4107.jsonl,2026-03-27T00:33:46.599000+00:00,2026-03-27T00:42:54.786000+00:00,2112907,1967104,145803,24289,0,24289,11577,2137196,20,31,c:\agent\crystallize:Task-0002:1026;c:\agent\crystallize:Task-0001:32,user_active_or_request:8;user_message:4;tool_call_args:34;tool_output:212
019d2cb6-519b-7620-9ba7-ccd434322b5b,Implement pass 4 tests,C:\Agent\HumanLoop,Task-0001,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T20-33-59-019d2cb6-519b-7620-9ba7-ccd434322b5b.jsonl,2026-03-27T00:34:03.780000+00:00,2026-03-27T00:41:12.376000+00:00,1982389,1897856,84533,17937,0,17937,6575,2000326,20,26,c:\agent\humanloop:Task-0001:1451,user_active_or_request:14;user_message:8;tool_call_args:37;tool_output:325
019d2cbf-709b-7151-985f-5e1e538b785e,Implement pass 5 in task folder,C:\Agent\Crystallize,Task-0002,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T20-43-56-019d2cbf-709b-7151-985f-5e1e538b785e.jsonl,2026-03-27T00:44:06.536000+00:00,2026-03-27T00:52:39.303000+00:00,1565528,1477632,87896,24973,0,24973,10450,1590501,20,19,c:\agent\crystallize:Task-0002:672;c:\agent\crystallize:Task-0001:303,user_active_or_request:4;user_message:2;tool_output:423;tool_call_args:11
019d2cbf-ac9c-7b52-8bb0-5fce9faa3cf0,Implement task pass 5,C:\Agent\HumanLoop,Task-0001,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T20-44-12-019d2cbf-ac9c-7b52-8bb0-5fce9faa3cf0.jsonl,2026-03-27T00:44:14.682000+00:00,2026-03-27T00:51:37.749000+00:00,1588664,1420800,167864,20949,0,20949,9745,1609613,20,21,c:\agent\humanloop:Task-0001:1000,user_active_or_request:10;user_message:6;tool_call_args:36;tool_output:142
019d2cc7-caac-7c43-af86-d9b3737306c5,Add pass 5 unit tests,C:\Agent\Crystallize,Task-0002,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T20-53-04-019d2cc7-caac-7c43-af86-d9b3737306c5.jsonl,2026-03-27T00:53:09.930000+00:00,2026-03-27T01:21:39.715000+00:00,1729551,1579008,150543,24432,0,24432,11916,1753983,30,27,c:\agent\crystallize:Task-0002:2100;c:\agent\crystallize:Task-0001:68,user_active_or_request:24;user_message:14;tool_call_args:51;tool_output:504
019d2cc8-0df2-7140-a073-52f409bea57a,Implement pass 5 tests,C:\Agent\HumanLoop,Task-0001,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T20-53-21-019d2cc8-0df2-7140-a073-52f409bea57a.jsonl,2026-03-27T00:53:23.305000+00:00,2026-03-27T00:59:57.899000+00:00,1304075,1250176,53899,18030,0,18030,7961,1322105,10,21,c:\agent\humanloop:Task-0001:527,user_active_or_request:14;user_message:8;tool_call_args:13;tool_output:87
019d2ce3-bc1e-77a0-94a2-6f14515685ee,Review regression docs,C:\Agent\Crystallize,Task-0002,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T21-23-35-019d2ce3-bc1e-77a0-94a2-6f14515685ee.jsonl,2026-03-27T01:23:51.320000+00:00,2026-03-27T02:58:24.895000+00:00,5718601,4433792,1284809,88754,0,88754,53491,5821285,80,82,c:\agent\crystallize:Task-0002:4381;c:\agent\crystallize:Task-0001:4241,user_active_or_request:170;user_message:102;tool_output:2456;tool_call_args:114
019d2d11-e2a4-7100-838a-fda6342798a6,Run app and queue test,C:\Agent\HumanLoop,Task-0001,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T22-14-00-019d2d11-e2a4-7100-838a-fda6342798a6.jsonl,2026-03-27T02:14:19.845000+00:00,2026-03-27T03:18:17.841000+00:00,12649512,11086080,1563432,107055,0,107055,66553,12756567,70,119,c:\agent\humanloop:Task-0001:2896,user_active_or_request:186;user_message:100;tool_output:18
019d2d47-71d0-7262-9790-de221b18aa58,Push git from .codex,C:\Agent\Crystallize,Task-0001,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T23-12-30-019d2d47-71d0-7262-9790-de221b18aa58.jsonl,2026-03-27T03:12:34.643000+00:00,2026-03-27T04:42:51.027000+00:00,2266249,2008064,258185,16805,0,16805,9352,2409830,30,40,c:\agent\crystallize:Task-0001:2098;c:\agent\crystallize:Task-0002:702,user_active_or_request:98;user_message:84;tool_output:458;tool_call_args:8
019d2d4f-4237-70f3-9b1f-6ab925c4968a,Fix copy prompt hang,C:\Agent\HumanLoop,Task-0001,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T23-21-02-019d2d4f-4237-70f3-9b1f-6ab925c4968a.jsonl,2026-03-27T03:21:23.861000+00:00,2026-03-27T03:51:17.798000+00:00,5599099,4814464,784635,55228,0,55228,27703,5939747,40,53,c:\agent\humanloop:Task-0001:2627;c:\agent\crystallize:Task-0001:498;c:\agent\crystallize:Task-0002:144;c:\agent\humanloop:Task-0002:92,user_active_or_request:75;user_message:41;tool_output:1037;tool_call_args:25
019d2d6e-1f24-7be1-9b15-1bc4176e6c75,Reproduce bug1 behavior,C:\Agent\HumanLoop,Task-0001,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T23-54-44-019d2d6e-1f24-7be1-9b15-1bc4176e6c75.jsonl,2026-03-27T03:55:09.554000+00:00,2026-03-27T04:12:51.258000+00:00,2309221,2045312,263909,30393,0,30393,14780,2339614,30,34,c:\agent\humanloop:Task-0001:270;c:\agent\crystallize:Task-0001:105,user_active_or_request:8;user_message:6;tool_output:111;tool_call_args:3
019d2d80-d5a5-7fd3-9017-131bf9151b86,Add e2e regression tests,C:\Agent\HumanLoop,Task-0001,task_ref,C:\Users\gregs\.codex\sessions\2026\03\27\rollout-2026-03-27T00-15-11-019d2d80-d5a5-7fd3-9017-131bf9151b86.jsonl,2026-03-27T04:15:15.505000+00:00,2026-03-27T14:14:05.282000+00:00,6835311,6106880,728431,47073,0,47073,27402,6882384,50,64,c:\agent\humanloop:Task-0001:986;c:\agent\crystallize:Task-0001:45,user_active_or_request:26;user_message:16;tool_output:255;tool_call_args:14
019d2e85-aa5e-7501-87e5-d80385ca2096,,,Unattributed,unattributed,C:\Users\gregs\.codex\sessions\2026\03\27\rollout-2026-03-27T05-00-05-019d2e85-aa5e-7501-87e5-d80385ca2096.jsonl,2026-03-27T09:00:11.237000+00:00,2026-03-27T09:09:26.635000+00:00,593646,411904,181742,22070,0,22070,14464,615716,10,9,,
019d2e85-aab4-7ac3-917e-1d2fd905f696,,,Unattributed,unattributed,C:\Users\gregs\.codex\sessions\2026\03\27\rollout-2026-03-27T05-00-05-019d2e85-aab4-7ac3-917e-1d2fd905f696.jsonl,2026-03-27T09:00:11.187000+00:00,2026-03-27T09:12:32.302000+00:00,875554,648832,226722,26689,0,26689,15687,902243,20,12,,
019d2e85-aafd-7732-a7d2-09519db5ce8c,,,Unattributed,unattributed,C:\Users\gregs\.codex\sessions\2026\03\27\rollout-2026-03-27T05-00-05-019d2e85-aafd-7732-a7d2-09519db5ce8c.jsonl,2026-03-27T09:00:11.334000+00:00,2026-03-27T09:08:13.351000+00:00,418437,239104,179333,16061,0,16061,11562,434498,10,6,,
